"","cluster","text","genre"
"1","2109344","ONLY MEIHUINK CIIKST.
diseased and worn out parts with BADBrriTs
Tins. Then the new body win taie care of
iteelf","advertisement"
"26","939857","IJtlSEIISE bas SD
. the ~-_ .:~ 1/ .~ ell ages 8S IiflE1/ >
'. .. -- and no bas even bees IVMwD to oWi e It
6
! !he RhsaCurs
Its
power. n Itas saran salted to oer e !~
. sn any son . . . , Aorrte oP olh. oir>le. here Is what a Promtneat Physloian has to ear who has Lad 95 [
) years of active Practice or Medidae I have never before in my 35 of of medicine yea my testimonial or - mendation to any patent medicine, but there is a remedy, the
whieh ha9 comb under my own observation; for there is no Disease which ban so baked the medical skill of plt a es as -- 8 and tq 6ad a RellaLle remedy for the same. At lnst we have foot s it in b 6;' by the 6 Rheumatlo Cure Company, Chicago,lil: The ""6 DROP6;' bas proven itself wonderful for its curative power
Rheumatism not as s Tampo racy Reliever only, but to give a Permanent Core even:n
. Somttime ago, I had among others several Rheumatic cases, under my and (or these the very best Romedies which I selected, but without desirable results. Z: heard of 8 DROP6 and of its R'oaderral Cotws and prescribed it to a-few patients who relief from its use within a few days. After that I it to a grest number cad to mx sur rise, I sa that in the course of Two or Three leeks after they lied ""ti 6 andP""G Drop""
they were Cured. Among these were a few who had, for a yearn, been with Chroalc Rheumatism, who land piloted themselves ou Crutches. They came to my without Crutches and told me they were perfectly Well. They give all the credit to ""6 pBOP6"" ehd to ""b Drop' Plasters and this a them to the 6 IthBnmatio Care Com- for their kindness and for the way is which they arc placing ~'- inl Bemediee among suffering humanity, wh:eh they told me to to the Company as ap . As I have seen the Carative Power of ""B DROP6"" and ""a Drop"" Plastors, is a great many , 1 rnn Traly recommend them and also that the 5cm is perfectly and m liable to deal with. C. A. JACKSON, Pbystcfaa and burgeon, Kesroey, heb., Avg, z9, tti59. Hotr Long Napa Yon 71jb1I P Nor 4.~ Haw 1'ov Raad Iibont pti OROPf""
Tllbn? Do you not think you have wasted precious time and suffered enough? If so, then try the "" g drops "" and be promptly and permanently cured of ef9. f' S Drops "" is a speedy and Sure Cure for Ithepmatism, Neuralgia, Sciatica, Lumbago (lame back), Kidney Diseases, Asthma, tiny-Fever, Dyapepsla, Catarrh of ail kinds Bronchitis, La l3Hppe, Headache, Nervous or
is Heart Weakness, Diropsy, Earache, Spasmodic and Catarrhal Csoup, Toothache, Nervousness, Sleeplessness, Creeping Numbngss,
end kindred diseases. "" 5 Drops "" bas cured more people, during the past four years of the named diseases than all other reme8irs known, and m case of is curing mere than all the doctors, patent , electric belts combined, for they cannot cure Chronic Rheumiltism. Thereftlre, ai5te no store valuable time and money longer, but try ""g Dtnps "" and be promptly CURED. "" g Drops "" is not only the best medicine,' but it is the 'Cheapest for a LOO bottle contains 30o doses. Price per bottle $l.oo, prepaid by mail
, or 6 bottles for Ig.oo. For the next 3o days we will send a mgc, sample F.s to any one trending Io cents to pay for the mailing. Agents wanted. Write . SWANSON RHEUMATIC CURE CO., 160-16 E.
STRE, Tf
0.
Sunday","advertisement"
"27","391562","the book

Weak Mothers
nuil nil women who tiro uursing babies, derive almost, incon_
ceivable benefits from the nourishing properties of

Scott's Emulsion
This is tho most nourishing food known to science. It en_
riches the mother's milk and gives hor strength. It also
makes babies fat and gives moro nourishment, to growing
children than all tho rest of tho food they eat.
Scott's Emulsion has been prescribed by physicians for
twenty years for Rickets, Marasmus, Wasting Diseases of Children,
Coughs, Colds, Weak Lungs, Emaciation and Consumption,
Send for pamphlet on Scott's Emulsion, FREE.

t

Scott &. Bowno, N. Y. All
and","advertisement"
"28","1521892","In the advertisement of the John A Salzer
Seed Company La Crosse Wis a few weeks
since the price of potatoes was inadvertent_
ly placed at 105 per barrel this should be
150 per barrel We advise sending 5 cents
postage for Salzers catalogue
-
Bachelor A traveler on lifes railway
who has missed his connections Chicago
Daily News
Sprained last night To day you are
Well if you use St Jacobs Oil to cure
A lass The favorite interjection of the
love lorn youth Chicago Daily News
Feel it pass away when St Jacobs
Oil cures Neuralgia Soothes it out
With the day the light with the road the
strength to tread it Samuel Johnson
Keep on and suffer if you think
St Jacobs Oil wont cure rheumatism

A FRIENDS ADVICE

And what it led to

It is -not a common occurence that a
friendly word should be the means of giv_
ing nearly forty years of happiness and
health to the person heeding the advice it
carried This was the case with Mary
iingard At twenty five she was dragging
out her days in misery At sixty one she
finds herself so active and strong she can
do work that would shame many a younger
woman and looks back on thirty six
happy healthful years of industry But
let her tell her story
Thirty six years ago Ibad great trouble
with my liver The doctors allowed that
there were tumors growing on it and they
blistered my side in an effort to give me
relief I was at that time earning my
living as a tailoress but for five years
between the pain in my side and the
blisters I was in constant misery and
-work was a drag to me with no prospect
of relief fortunately for me however a
friend advised me to take Dr Ayers Sar
saparilla and finally persuaded me to take
a regular course of it When I first com
menced taking the Sarsaparilla my side
was so painful that I could not fasten my
dress and for a time I did not get any
relief but my friend advised me to per_
severe and relief was sure to come and
come it did This iappened as I say
thirty six years ago- Mv liver has never
troubled me since and during these years
1 have passed through the most critical
period of a womans life without any par
ticular trouble and to day at sixty one
years of age I am active and strong and
able to do a days worli that would upset

MHaisiaBgigwnai","advertisement"
"29","2635302","Taken avcay
sick headache, bilious headache,
dizziness, constipation, indigestion,
bilious attacks, and all derange_
ments of tho liver, stomach and
bowels. It's a largo contract, but
tho smallest things in the world do
tho business Dr. Pierce's Pleasant
Pellets. They'ro tho smallest, but
tho most effective. They go to
work in tho right way. They
cleanso and renovate tho 6ystem
thoroughly but they do it mildly
and gently. You feel tho gooa
they do but you don't feci
them doing it. -As a Liver Pill,
they're","advertisement"
"30","10025167","fib, and
I make this solemn declaration conscientionly believing
the same to be true, By virtue of the provisions of the
Statutory Declaration Act, 1835 (Will. IV. e. 62."")
''Denlared before me at Lneds this
""25th day of January, 1892 (Signed)
""(Sigund) ALF. CooRP. J. P. JANFe CALAP.
"" Ex. Mayor of Leeds."":
The public may remember tcho account of Mrs. Mills'
illness and cevery, published some time ago. We are
glad that Mlrs. Calap heard of it end went straight to
that lady herqelf for thn information she wanted. The
visit resulted just as might have been expected. Both
our unod friends had suffered from the eame disease,
indigestion and dyspepsie, and the remedy which cared
in the first case was equAlly euCCeserUl in that of her
neighbour. No wonder Mrs. Calap hal lost all faith
in physic, aead it Mother Seieel's Syrup "" were physic,""
we ehoald not look for people to have faith la it either.
But it is a remedy, not "" physic."" It doesn't upset
and disgust, it soothes and heals. Men fall ill, to he'
sure, hutwomenebear most of thepain in this sad world,
and when once acquainted they and ""Mother Seigel
are 'ever' the best of friends,"" like Joe and Pip in
Dickens' story","advertisement"
"31","921371","in appearance, and
made especially attractive.
According to a celebrated anatomist the re
are upwards of 5,000.000 little glands in the
bninau stomach. These glands pour out the
digestive juices which dissolve or digest the
food. Indigestion is want of juice, weakness
of glands, need of help to restore the health
of these organs. The best and most natural
help is that given by Shaker Digestive Cordial.
Naturul, because it supplies the materials
needed by the glands to prepare the digestive
juiccs. Because it btrengtheus and invigorates
the glands and the stomach, until they are
able to do their work alone. Shaker Diges_
tive Cordial cures indigestion certainly and
permanently. Ir docs so by natural means,
and therein lies the secret of its wonderful
and unvaried success
At druggists, price 10 cents to $1.00 per
bottle.
We understand thePowhaJan Brass
and Iron Works Company of","advertisement"
"32","769567","on the evening of the
l > ai a ilo

A Cougher's Coffers
may not bo no full no ho wishes , but if ho ia
wise ho will neglect his coffers awhile nnd
attend to his cough. A man's coffers rnny bo
so secure that no ono cnn take them avmy
from him. But n little cough hns taken many
a man nv/ay from his coffers. The ""alight
cough"" ia somewhat like the small pebble that
hos on the mountain side , and appears utterly
insignificant. A fluttering bird , perhaps , starta
the pebble rolling , nnd the rolling pebble bogota
an avalanoho that buries a town. Many fatal
diseases begin with a alight cough. But any
cough , tnkon in < inio , cnn bo cured by the use of
.Ayer's Cherry Pectoral.
Mnre purtlcitlirs nboul Pectoral In Aycr'it CurrbGoV. too
bent fret , j , C. Ayer Co , L3w.ll. Muti","advertisement"
"33","426433","preferred the rtorest
letteb to vis. riMKBAH no. 94,398
""lam so grateful to you for what
Lyelia K. Pinkham's Vegetable Com_
pound hao done for me that I feci as
though I must
tell alout it. A
year ago I was
taken very sick.
Doctorscould do
me no pood only
to deaden the
pain which I
hail almost con_
stantly. I got
some of your
Compound and
took one bottle
Women
Would Sure
ly Try Mrsm
Pinkham's
nflsdicinc If
They Only
Knew, Ssys
IVIrSm King
and received benefit from it at once.
I have taken it ever since and now
have no backache, no pain in my
side and my stomach and bowels are 1
perfectly well. I can honestly say that
there is nothing-like it. If I could only
tell every woman how much good your
medicine has done me. they would
surely try it."" M aktua M. Klh'O, Noetu
Attlebobo, Mass.
The way women trifle with health
shows a degree of indifference that is
past understanding-. Happinessand use_
fulness depend on physical health ; so
does a good disposition.- Disease makes
women nervocs, irritable and snap_
pish. The very effort of ailing women
to be good-natured makes them ner_
